epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.39437,1.33611,2.87021,1.64364,0.57454,0.85,0.87817,0.63489,1.64738,1.07188,1.38135,0,0,0
2,9.53045,1.20416,2.69497,1.511,0.56574,0.85,0.8488,0.6319,1.64478,1.06182,1.37173,1.17822e-06,1.17822e-06,1.17822e-06
3,12.7238,1.1601,3.63472,1.57315,0.55956,0.85,0.85083,0.63276,1.66527,1.06255,1.37731,2.33288e-06,2.33288e-06,2.33288e-06
4,15.7187,1.27724,2.74093,1.38866,0.56026,0.85,0.84952,0.61586,1.65912,1.05503,1.37599,3.46397e-06,3.46397e-06,3.46397e-06
5,18.2671,1.37198,3.08582,1.72634,0.5651,0.85,0.85526,0.63771,1.65728,1.04231,1.36954,4.5715e-06,4.5715e-06,4.5715e-06
6,20.665,1.56189,4.11493,1.96485,0.54414,0.85,0.8936,0.63825,1.68403,1.05992,1.37583,5.65548e-06,5.65548e-06,5.65548e-06
7,22.9857,1.13976,1.91386,1.41952,0.53944,0.85172,0.89406,0.64255,1.68268,1.0607,1.37528,6.71588e-06,6.71588e-06,6.71588e-06
8,25.3732,1.37612,4.02047,1.61443,0.55029,0.85949,0.85911,0.61257,1.64201,1.05877,1.35113,7.75273e-06,7.75273e-06,7.75273e-06
9,27.7149,1.11618,2.70469,1.41099,0.56884,0.86386,0.81827,0.59503,1.6635,1.06076,1.36163,8.76602e-06,8.76602e-06,8.76602e-06
10,30.1601,1.18655,3.44802,1.59516,0.57996,0.86406,0.81417,0.59502,1.65531,1.05795,1.35492,9.75574e-06,9.75574e-06,9.75574e-06
11,32.5938,1.20761,2.46993,1.45278,0.59064,0.8637,0.85595,0.61995,1.65247,1.06457,1.35423,1.07219e-05,1.07219e-05,1.07219e-05
